,student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,math_score,science_score,english_score,overall_score,final_grade
1840,1841,16,male,public,no formal,6.7,92.0,no,>60 min,no,mixed,94.0,100.0,98.1,98.1,a
1841,1842,14,male,public,no formal,1.2,73.6,yes,30-60 min,no,notes,47.6,20.5,42.6,42.2,e
1842,1843,18,male,public,graduate,5.3,62.0,yes,>60 min,yes,online videos,51.5,47.8,56.9,57.8,d
1843,1844,19,other,private,no formal,5.8,52.2,yes,>60 min,yes,notes,38.8,58.7,67.6,59.4,d
1844,1845,18,female,private,phd,2.8,73.4,yes,15-30 min,yes,mixed,42.5,59.7,43.2,46.9,e
1845,1846,17,female,public,post graduate,1.8,72.7,no,30-60 min,no,mixed,41.8,60.9,49.2,46.5,e
1846,1847,16,female,public,post graduate,3.9,67.8,yes,<15 min,no,textbook,73.4,71.7,67.6,59.2,d
1847,1848,17,other,private,graduate,6.2,81.8,yes,>60 min,no,online videos,81.7,68.5,80.5,74.0,c
1848,1849,17,male,private,graduate,7.2,76.6,yes,15-30 min,no,coaching,100.0,90.2,68.7,92.7,b
1849,1850,14,female,private,phd,6.6,55.8,yes,15-30 min,no,coaching,67.1,75.8,66.7,66.0,d
1850,1851,14,male,public,no formal,1.3,52.4,yes,>60 min,no,online videos,34.9,12.6,27.8,35.8,f
1851,1852,15,female,private,high school,2.2,94.5,yes,<15 min,no,mixed,63.1,57.8,62.1,64.3,d
1852,1853,16,female,public,post graduate,5.1,87.1,yes,>60 min,no,mixed,73.4,88.6,83.0,73.1,c
1853,1854,14,other,private,no formal,5.8,73.2,yes,30-60 min,yes,notes,83.6,86.1,100.0,82.2,c
1854,1855,14,female,private,high school,0.6,74.8,yes,<15 min,no,coaching,38.0,43.4,35.5,44.4,e
1855,1856,19,male,private,no formal,1.6,55.7,yes,>60 min,no,group study,25.3,29.4,20.1,27.1,f
1856,1857,16,female,public,no formal,1.2,63.2,yes,>60 min,yes,mixed,21.1,47.3,28.4,26.7,f
1857,1858,17,other,public,diploma,3.1,91.2,yes,>60 min,yes,coaching,61.7,65.2,63.5,61.3,d
1858,1859,17,female,public,graduate,5.6,56.3,yes,>60 min,no,online videos,94.2,86.3,67.1,76.7,c
1859,1860,18,female,public,no formal,7.6,55.2,yes,>60 min,no,coaching,98.4,97.0,93.5,86.1,b
1860,1861,18,male,public,phd,1.2,77.9,yes,<15 min,no,group study,66.4,62.5,26.6,35.2,f
1861,1862,15,male,private,post graduate,4.3,92.0,yes,30-60 min,yes,online videos,69.6,67.5,52.3,67.6,d
1862,1863,19,male,private,graduate,3.3,69.0,yes,30-60 min,no,group study,58.4,49.5,34.0,44.9,e
1863,1864,16,male,public,no formal,3.5,82.3,yes,>60 min,yes,mixed,52.6,62.0,62.7,54.7,e
1864,1865,19,female,public,graduate,1.0,95.1,no,15-30 min,no,mixed,57.7,42.2,49.8,51.7,e
1865,1866,16,other,public,phd,2.7,94.6,yes,30-60 min,yes,textbook,67.4,87.1,47.6,69.2,d
1866,1867,14,female,private,high school,2.4,73.4,yes,<15 min,yes,group study,79.5,54.3,61.6,57.0,d
1867,1868,18,female,private,graduate,5.9,64.8,yes,15-30 min,yes,notes,68.7,59.8,69.9,68.7,d
1868,1869,14,other,public,graduate,5.3,78.7,yes,<15 min,no,group study,76.9,85.1,94.1,82.4,c
1869,1870,18,other,public,post graduate,5.3,96.2,yes,30-60 min,no,notes,78.5,62.0,76.4,75.1,c
1870,1871,14,female,private,phd,4.4,84.0,yes,<15 min,yes,group study,59.1,59.7,65.6,63.3,d
1871,1872,15,other,public,no formal,3.1,97.8,yes,30-60 min,yes,mixed,77.9,60.5,53.3,56.5,d
1872,1873,17,male,public,no formal,2.3,79.0,yes,30-60 min,yes,textbook,58.3,37.4,49.2,54.2,e
1873,1874,19,female,private,no formal,0.6,51.1,no,30-60 min,no,mixed,41.8,22.4,10.5,20.3,f
1874,1875,16,female,public,high school,1.6,72.4,no,<15 min,no,group study,44.4,29.4,29.6,41.3,e
1875,1876,14,other,private,diploma,2.1,95.2,yes,15-30 min,no,group study,54.5,52.8,55.0,51.4,e
1876,1877,15,female,private,phd,7.8,51.7,yes,15-30 min,yes,online videos,79.0,77.5,65.5,75.5,c
1877,1878,19,other,private,graduate,7.8,80.9,yes,>60 min,no,group study,91.9,88.2,86.1,88.5,b
1878,1879,18,male,public,post graduate,6.3,68.9,no,15-30 min,no,mixed,78.5,70.7,87.4,71.1,c
1879,1880,14,male,public,graduate,5.1,70.2,yes,>60 min,no,notes,69.1,75.5,71.4,63.4,d
1880,1881,16,other,private,phd,5.5,78.4,yes,<15 min,yes,textbook,65.5,52.6,75.9,72.3,c
1881,1882,15,other,public,high school,5.0,70.6,yes,>60 min,yes,notes,69.6,67.0,72.5,68.4,d
1882,1883,15,other,private,post graduate,5.4,96.0,yes,>60 min,yes,coaching,74.0,81.5,69.6,75.9,c
1883,1884,19,male,private,high school,2.1,65.2,yes,<15 min,yes,group study,41.9,63.9,37.7,46.0,e
1884,1885,17,male,public,high school,7.8,88.0,yes,30-60 min,no,coaching,77.8,87.0,100.0,92.8,b
1885,1886,15,male,public,phd,6.2,54.6,yes,15-30 min,yes,mixed,52.7,65.5,73.1,65.4,d
1886,1887,17,female,private,no formal,2.3,66.6,yes,<15 min,no,group study,50.1,67.2,35.0,52.9,e
1887,1888,16,female,private,high school,4.4,57.9,no,>60 min,no,notes,50.7,51.2,52.8,53.1,e
1888,1889,14,other,private,diploma,6.4,61.0,yes,>60 min,no,online videos,86.6,82.5,64.3,71.7,c
1889,1890,16,other,public,no formal,7.3,78.2,yes,>60 min,no,notes,84.1,97.8,84.1,89.2,b
1890,1891,15,other,public,post graduate,3.4,67.1,yes,30-60 min,no,coaching,47.6,75.6,51.9,62.0,d
1891,1892,15,male,public,diploma,4.1,52.4,yes,15-30 min,no,mixed,48.3,54.4,69.8,60.4,d
1892,1893,19,male,private,diploma,2.8,93.2,yes,30-60 min,no,mixed,53.7,48.9,41.3,54.2,e
1893,1894,18,female,public,high school,3.3,83.8,yes,30-60 min,no,notes,58.6,32.6,31.8,50.1,e
1894,1895,14,female,private,phd,2.2,97.8,yes,30-60 min,yes,mixed,64.7,48.8,49.0,54.4,e
1895,1896,19,other,public,diploma,0.7,90.0,no,<15 min,yes,group study,37.8,42.0,58.4,39.1,f
1896,1897,17,male,public,post graduate,3.6,78.0,yes,15-30 min,no,notes,74.3,66.0,64.8,54.1,e
1897,1898,19,male,public,graduate,4.0,73.0,yes,>60 min,yes,textbook,57.6,64.9,77.2,62.3,d
1898,1899,18,male,public,phd,6.3,97.3,yes,15-30 min,no,textbook,86.1,100.0,100.0,97.6,a
1899,1900,16,other,private,graduate,4.4,71.2,yes,15-30 min,no,group study,50.9,44.7,52.1,54.7,e
1900,1901,17,other,public,phd,2.9,77.2,no,>60 min,no,coaching,48.1,39.1,58.6,59.3,d
1901,1902,17,other,private,post graduate,4.0,66.7,yes,15-30 min,no,online videos,47.5,63.9,48.3,51.2,e
1902,1903,18,female,public,no formal,6.5,64.0,yes,15-30 min,yes,coaching,82.3,91.4,71.5,84.6,c
1903,1904,15,male,public,no formal,4.1,92.3,yes,<15 min,yes,online videos,91.5,83.9,64.0,75.0,c
1904,1905,15,other,private,post graduate,4.7,62.4,yes,15-30 min,yes,textbook,54.9,49.1,71.7,64.7,d
1905,1906,15,male,private,no formal,1.8,57.2,yes,<15 min,no,textbook,65.3,37.6,37.6,44.6,e
1906,1907,15,male,private,high school,0.6,86.4,no,>60 min,yes,coaching,47.4,34.3,44.4,43.6,e
1907,1908,14,other,public,post graduate,7.5,92.1,yes,>60 min,yes,notes,100.0,96.3,89.4,100.0,a
1908,1909,14,female,public,diploma,2.5,96.4,yes,30-60 min,no,notes,69.6,67.0,56.8,60.5,d
1909,1910,19,male,public,high school,3.1,83.4,yes,30-60 min,yes,coaching,46.7,60.9,57.3,51.9,e
1910,1911,14,female,public,high school,1.4,67.4,yes,30-60 min,yes,group study,34.9,43.9,21.2,37.9,f
1911,1912,19,male,private,high school,4.3,75.5,yes,15-30 min,yes,online videos,58.6,53.1,59.5,59.8,d
1912,1913,14,male,public,phd,6.0,59.3,yes,<15 min,yes,textbook,77.0,79.5,86.2,80.2,c
1913,1914,18,other,private,diploma,5.6,60.6,yes,<15 min,yes,mixed,81.5,69.5,64.9,65.2,d
1914,1915,15,male,public,phd,6.9,94.8,yes,30-60 min,no,mixed,91.6,82.2,85.4,95.0,b
1915,1916,17,other,private,post graduate,2.6,92.4,yes,30-60 min,yes,mixed,37.5,51.7,56.4,56.0,d
1916,1917,15,female,public,high school,2.9,63.9,yes,<15 min,yes,textbook,38.4,39.4,26.9,40.5,e
1917,1918,16,female,public,no formal,7.7,69.0,yes,>60 min,no,notes,81.5,86.2,81.9,83.6,c
1918,1919,16,other,public,phd,3.9,97.9,yes,<15 min,yes,group study,61.3,67.4,54.0,63.5,d
1919,1920,17,female,public,phd,6.8,69.6,yes,15-30 min,no,mixed,81.3,64.3,73.2,80.4,c
1920,1921,16,male,public,no formal,5.1,66.4,yes,<15 min,yes,online videos,69.7,53.9,85.6,66.8,d
1921,1922,17,other,private,high school,1.9,60.0,yes,30-60 min,no,group study,50.0,22.3,46.2,34.6,f
1922,1923,18,female,public,post graduate,7.7,70.4,yes,15-30 min,no,group study,100.0,100.0,100.0,97.5,a
1923,1924,16,female,private,phd,2.9,68.2,yes,>60 min,yes,notes,21.1,32.9,46.0,42.2,e
1924,1925,16,female,private,phd,5.3,86.7,no,30-60 min,no,online videos,64.6,69.3,80.1,75.7,c
1925,1926,14,female,private,high school,2.4,67.3,yes,15-30 min,yes,notes,33.9,20.0,37.0,37.3,f
1926,1927,16,female,private,phd,4.8,72.9,yes,15-30 min,yes,group study,78.1,78.0,68.9,71.1,c
1927,1928,14,other,private,post graduate,4.6,66.1,yes,>60 min,no,mixed,63.8,59.6,54.3,60.3,d
1928,1929,15,male,private,diploma,2.5,66.0,no,>60 min,yes,textbook,42.9,72.1,54.0,53.3,e
1929,1930,19,female,public,diploma,7.9,62.6,yes,15-30 min,no,online videos,99.5,64.2,80.9,93.0,b
1930,1931,14,female,public,post graduate,1.6,74.9,yes,>60 min,no,textbook,46.0,26.4,41.2,39.9,f
1931,1932,16,female,private,phd,3.8,71.5,yes,<15 min,no,group study,79.0,71.9,80.2,68.0,d
1932,1933,19,male,public,phd,0.7,52.9,yes,>60 min,yes,coaching,23.6,46.1,34.5,28.3,f
1933,1934,19,female,private,diploma,5.6,96.5,yes,>60 min,yes,coaching,87.6,67.6,81.8,80.4,c
1934,1935,14,male,private,high school,4.0,67.4,yes,15-30 min,no,textbook,59.5,36.3,40.9,56.8,d
1935,1936,14,female,public,phd,4.7,87.9,yes,>60 min,yes,mixed,61.4,75.6,71.7,76.6,c
1936,1937,16,other,public,high school,5.7,95.3,yes,15-30 min,no,notes,91.1,75.3,100.0,82.6,c
1937,1938,17,female,public,post graduate,6.2,50.6,yes,<15 min,no,mixed,73.5,75.3,74.7,72.8,c
1938,1939,19,other,public,graduate,7.7,56.2,yes,15-30 min,no,textbook,85.8,96.5,70.3,79.4,c
1939,1940,15,female,private,graduate,7.0,59.5,yes,30-60 min,no,mixed,52.1,68.7,75.1,74.1,c
1940,1941,14,male,private,high school,2.9,94.3,yes,15-30 min,yes,textbook,61.4,60.2,66.0,62.9,d
1941,1942,15,female,public,high school,6.0,77.3,yes,30-60 min,yes,notes,69.2,72.2,75.4,75.4,c
1942,1943,19,male,public,graduate,1.1,65.5,yes,>60 min,no,textbook,53.8,47.3,44.2,41.9,e
1943,1944,14,other,private,high school,1.5,52.2,yes,>60 min,no,online videos,37.4,38.7,32.2,40.0,f
1944,1945,16,other,public,post graduate,3.9,51.8,yes,30-60 min,no,mixed,49.1,39.0,66.1,48.5,e
1945,1946,14,female,private,phd,3.9,78.9,no,30-60 min,no,group study,52.4,65.0,52.3,54.4,e
1946,1947,14,other,private,no formal,4.3,85.2,yes,<15 min,yes,notes,70.0,52.5,65.8,66.1,d
1947,1948,19,male,public,phd,4.1,69.3,yes,>60 min,yes,textbook,53.8,48.7,49.9,53.5,e
1948,1949,14,male,public,high school,5.3,64.4,yes,30-60 min,yes,online videos,71.1,73.6,92.0,76.4,c
1949,1950,15,male,private,no formal,7.7,90.3,yes,30-60 min,no,mixed,100.0,85.9,96.6,100.0,a
1950,1951,19,female,public,phd,1.8,93.3,yes,15-30 min,no,textbook,46.3,57.3,38.3,46.4,e
1951,1952,17,male,private,high school,3.2,69.2,yes,15-30 min,yes,mixed,50.3,47.8,61.7,54.5,e
1952,1953,14,female,public,graduate,1.1,87.4,no,30-60 min,yes,mixed,35.9,29.6,30.2,39.8,f
1953,1954,16,other,public,no formal,2.0,93.5,yes,<15 min,no,textbook,68.3,74.9,45.8,59.9,d
1954,1955,19,female,public,no formal,7.9,69.0,yes,<15 min,yes,mixed,100.0,100.0,97.0,100.0,a
1955,1956,16,female,private,high school,0.8,58.0,yes,>60 min,yes,coaching,19.0,25.2,30.3,32.4,f
1956,1957,17,male,public,graduate,2.1,68.4,yes,15-30 min,no,textbook,37.3,36.2,51.2,37.7,f
1957,1958,17,male,public,high school,3.7,53.1,yes,>60 min,no,mixed,59.8,45.6,32.1,44.4,e
1958,1959,17,other,private,high school,2.7,51.8,yes,30-60 min,no,online videos,37.2,44.5,41.5,43.6,e
1959,1960,15,other,private,phd,4.6,91.2,yes,<15 min,no,online videos,78.1,80.2,71.6,76.6,c
1960,1961,19,male,private,high school,7.9,92.6,yes,30-60 min,no,group study,90.6,100.0,87.8,100.0,a
1961,1962,19,male,public,no formal,5.8,82.4,yes,30-60 min,yes,textbook,71.4,92.1,66.5,75.3,c
1962,1963,14,other,private,no formal,3.5,92.8,yes,>60 min,no,textbook,58.0,63.6,64.8,59.8,d
1963,1964,18,male,public,phd,5.6,96.8,yes,<15 min,no,mixed,92.4,90.3,100.0,86.3,b
1964,1965,18,female,public,diploma,7.0,84.3,no,30-60 min,no,notes,86.6,80.8,98.8,91.8,b
1965,1966,18,other,private,phd,2.2,95.6,yes,30-60 min,no,online videos,72.4,56.8,71.1,57.0,d
1966,1967,16,other,public,post graduate,5.9,96.0,yes,<15 min,yes,group study,79.7,75.0,60.6,89.7,b
1967,1968,16,female,public,high school,5.1,63.7,yes,<15 min,no,online videos,70.2,74.2,64.8,67.1,d
1968,1969,19,female,private,post graduate,6.0,97.5,yes,>60 min,yes,textbook,62.8,79.9,76.8,77.7,c
1969,1970,14,other,public,diploma,1.1,99.2,no,>60 min,yes,mixed,45.4,45.7,54.6,44.0,e
1970,1971,18,other,private,graduate,6.0,64.0,yes,<15 min,yes,group study,92.2,90.5,100.0,81.4,c
1971,1972,19,other,public,graduate,6.4,81.4,yes,30-60 min,no,mixed,90.8,99.6,91.7,87.4,b
1972,1973,18,female,private,post graduate,5.7,61.0,yes,30-60 min,no,mixed,62.1,57.3,71.6,74.1,c
1973,1974,16,other,private,high school,2.0,69.7,yes,30-60 min,no,coaching,64.0,38.7,37.4,43.7,e
1974,1975,17,other,public,no formal,1.7,81.2,yes,30-60 min,no,notes,55.3,45.7,42.7,44.8,e
1975,1976,14,male,private,post graduate,6.0,51.9,yes,<15 min,yes,online videos,71.6,63.5,61.3,74.9,c
1976,1977,19,male,private,phd,5.4,82.3,yes,<15 min,no,online videos,85.9,89.5,70.3,84.8,c
1977,1978,16,other,public,graduate,7.9,74.3,yes,<15 min,yes,online videos,87.4,91.9,88.4,85.7,b
1978,1979,14,male,private,no formal,3.9,56.2,no,15-30 min,yes,mixed,30.9,42.5,43.7,46.4,e
1979,1980,18,other,public,no formal,2.2,84.2,yes,30-60 min,no,notes,35.0,48.9,36.8,42.3,e
1980,1981,17,female,private,graduate,6.3,97.1,yes,15-30 min,no,notes,83.5,83.1,95.8,83.3,c
1981,1982,17,male,public,phd,6.1,50.1,yes,<15 min,no,group study,89.1,64.7,100.0,75.1,c
1982,1983,14,female,private,graduate,4.4,71.9,yes,>60 min,no,group study,58.5,63.5,60.0,65.1,d
1983,1984,18,other,private,high school,6.1,56.3,yes,15-30 min,yes,group study,67.8,54.0,60.3,69.8,d
1984,1985,17,other,public,graduate,2.8,60.4,yes,15-30 min,yes,mixed,55.8,46.3,58.8,46.5,e
1985,1986,18,female,public,no formal,2.1,74.6,yes,>60 min,no,group study,60.8,60.6,43.0,54.1,e
1986,1987,18,male,public,diploma,1.4,64.6,yes,30-60 min,yes,notes,57.5,49.8,33.9,43.4,e
1987,1988,15,other,private,phd,2.7,82.5,yes,15-30 min,yes,coaching,67.4,57.5,65.7,60.0,d
1988,1989,15,other,private,graduate,5.4,63.2,yes,<15 min,yes,coaching,65.7,59.6,69.2,62.4,d
1989,1990,19,female,public,no formal,2.4,88.8,yes,15-30 min,no,textbook,61.5,66.8,57.7,58.1,d
1990,1991,17,female,private,high school,7.1,59.2,no,>60 min,no,textbook,90.0,70.3,76.2,76.9,c
1991,1992,16,female,private,no formal,2.4,95.4,yes,>60 min,yes,notes,50.5,47.2,75.1,56.8,d
1992,1993,15,male,private,diploma,5.6,70.0,yes,15-30 min,no,mixed,73.3,81.9,63.6,65.7,d
1993,1994,17,male,private,high school,4.5,52.8,yes,30-60 min,yes,notes,52.6,50.4,69.2,56.9,d
1994,1995,18,male,private,phd,2.1,55.0,yes,<15 min,yes,notes,44.0,35.8,51.3,47.6,e
1995,1996,14,other,public,high school,4.7,76.6,yes,15-30 min,yes,online videos,74.0,75.8,87.7,71.7,c
1996,1997,17,male,public,no formal,7.7,95.6,yes,30-60 min,yes,group study,90.5,80.3,81.3,90.4,b
1997,1998,19,female,private,diploma,7.6,75.8,yes,>60 min,yes,online videos,92.5,100.0,96.6,98.1,a
1998,1999,15,female,private,post graduate,2.7,72.5,yes,15-30 min,no,online videos,52.4,49.1,46.4,53.9,e
1999,2000,15,male,public,post graduate,4.5,88.6,yes,<15 min,no,mixed,69.6,66.0,58.7,70.0,c
2000,2001,19,other,private,phd,1.6,61.3,yes,15-30 min,yes,notes,41.6,40.6,51.1,36.0,f
2001,2002,14,male,private,diploma,4.0,83.8,no,<15 min,no,notes,71.0,87.2,71.0,70.9,c
2002,2003,16,other,private,graduate,2.9,60.9,yes,15-30 min,no,online videos,47.1,46.2,33.2,42.9,e
2003,2004,16,other,public,graduate,7.5,92.3,yes,15-30 min,yes,group study,98.4,97.6,92.9,94.7,b
2004,2005,18,other,private,no formal,5.2,94.1,yes,>60 min,no,textbook,79.1,84.6,66.6,84.8,c
2005,2006,14,male,public,no formal,1.9,59.7,yes,15-30 min,no,mixed,50.3,66.0,45.3,46.7,e
2006,2007,16,other,private,post graduate,7.9,57.2,yes,30-60 min,no,group study,68.2,98.1,99.9,92.9,b
2007,2008,14,female,public,diploma,5.7,86.2,yes,>60 min,no,online videos,100.0,71.9,97.7,81.9,c
2008,2009,18,female,private,post graduate,1.5,82.6,no,<15 min,yes,notes,73.8,40.1,22.9,52.0,e
2009,2010,17,other,public,phd,6.5,81.1,yes,>60 min,yes,group study,90.7,94.0,82.7,88.7,b
2010,2011,16,female,private,high school,4.7,75.5,no,30-60 min,yes,mixed,68.2,78.0,79.6,74.4,c
2011,2012,16,male,private,post graduate,3.5,56.5,yes,<15 min,yes,textbook,51.0,43.5,50.5,46.1,e
2012,2013,14,male,private,high school,2.0,86.0,yes,<15 min,no,notes,28.6,27.2,35.4,41.7,e
2013,2014,19,female,private,post graduate,2.6,58.1,yes,>60 min,yes,mixed,67.1,56.5,54.6,53.4,e
2014,2015,17,female,public,no formal,1.8,77.1,yes,15-30 min,yes,coaching,55.2,43.7,45.9,49.9,e
2015,2016,15,male,public,high school,6.5,67.3,yes,>60 min,yes,mixed,79.2,77.8,86.6,86.2,b
2016,2017,16,male,private,diploma,2.5,66.6,yes,<15 min,no,online videos,37.7,59.8,63.5,49.5,e
2017,2018,18,other,private,diploma,4.0,91.6,no,<15 min,yes,textbook,41.9,62.3,74.7,65.9,d
2018,2019,18,female,private,no formal,7.8,72.8,yes,>60 min,yes,notes,95.7,84.1,80.2,91.2,b
2019,2020,16,other,private,phd,8.0,74.7,yes,15-30 min,no,notes,82.2,97.0,88.7,97.9,a
2020,2021,15,male,private,no formal,6.4,94.8,yes,<15 min,yes,online videos,87.6,89.1,98.1,91.5,b
2021,2022,17,male,public,phd,6.5,77.9,yes,15-30 min,no,notes,73.3,80.0,59.4,73.7,c
2022,2023,17,male,public,high school,7.6,90.1,yes,15-30 min,yes,notes,94.7,98.6,100.0,100.0,a
2023,2024,17,female,public,post graduate,6.5,93.1,no,<15 min,no,group study,74.1,84.5,95.1,87.8,b
2024,2025,14,other,private,post graduate,3.9,84.8,yes,30-60 min,yes,textbook,71.6,84.4,66.0,71.2,c
2025,2026,16,female,private,diploma,1.0,57.2,yes,15-30 min,no,mixed,38.0,42.3,36.7,37.7,f
2026,2027,17,male,public,graduate,2.1,56.0,yes,15-30 min,no,group study,41.3,50.9,51.8,42.6,e
2027,2028,19,other,public,no formal,3.8,71.7,yes,<15 min,no,coaching,74.2,65.2,82.5,57.0,d
2028,2029,17,female,public,phd,2.5,53.2,yes,>60 min,no,notes,65.8,43.3,53.3,46.8,e
2029,2030,16,female,private,no formal,3.0,65.0,yes,30-60 min,no,mixed,57.2,58.2,60.5,58.9,d
2030,2031,17,male,private,graduate,0.9,60.4,no,>60 min,no,online videos,33.9,25.8,12.6,25.4,f
2031,2032,15,female,public,no formal,4.6,51.9,yes,15-30 min,yes,textbook,59.4,81.5,42.7,64.0,d
2032,2033,14,female,private,post graduate,3.1,70.0,no,<15 min,no,group study,28.8,26.2,40.0,43.7,e
2033,2034,18,other,public,diploma,2.4,62.5,yes,15-30 min,yes,textbook,42.9,37.6,49.6,39.1,f
2034,2035,19,male,private,diploma,5.1,55.1,yes,15-30 min,yes,coaching,56.8,72.3,74.8,70.8,c
2035,2036,19,male,private,no formal,2.6,86.5,yes,15-30 min,yes,group study,57.6,33.6,54.6,46.7,e
2036,2037,17,other,private,high school,4.1,95.6,yes,15-30 min,yes,notes,62.5,45.5,66.2,63.0,d
2037,2038,14,female,private,diploma,2.3,81.0,no,30-60 min,no,textbook,42.2,39.3,50.8,45.3,e
2038,2039,19,male,public,post graduate,5.6,96.5,yes,>60 min,no,coaching,74.4,87.6,81.4,84.4,c
2039,2040,16,male,private,graduate,6.9,58.3,yes,<15 min,yes,coaching,79.5,87.1,88.9,79.7,c
2040,2041,15,female,private,high school,1.1,88.4,yes,>60 min,no,textbook,39.4,55.5,54.6,43.3,e
2041,2042,19,female,public,graduate,6.6,70.4,yes,<15 min,no,notes,73.9,93.3,93.3,89.8,b
2042,2043,18,male,private,high school,6.9,74.5,yes,30-60 min,no,group study,74.1,71.5,77.5,76.4,c
2043,2044,18,female,private,graduate,7.7,83.2,yes,30-60 min,yes,mixed,99.9,99.9,79.3,100.0,a
2044,2045,15,other,public,graduate,6.7,89.2,yes,>60 min,yes,mixed,84.4,74.6,78.6,79.7,c
2045,2046,19,other,private,high school,4.6,53.0,yes,15-30 min,yes,textbook,43.9,52.7,48.0,49.2,e
2046,2047,16,female,public,high school,1.0,69.4,yes,30-60 min,yes,mixed,26.3,23.7,29.5,27.4,f
2047,2048,17,female,private,graduate,1.1,88.2,yes,<15 min,no,group study,45.9,49.0,64.9,50.4,e
2048,2049,18,female,private,graduate,2.0,76.7,yes,15-30 min,no,mixed,42.8,53.4,46.6,47.5,e
2049,2050,17,male,private,phd,3.9,67.1,yes,15-30 min,yes,group study,55.5,51.2,86.8,59.3,d
2050,2051,15,male,private,diploma,7.7,52.0,yes,>60 min,no,notes,84.5,92.4,81.9,82.0,c
2051,2052,15,other,private,diploma,1.8,50.4,yes,>60 min,no,mixed,31.7,22.8,43.6,35.2,f
2052,2053,16,male,public,diploma,4.5,71.3,yes,>60 min,no,textbook,53.3,59.1,56.5,56.5,d
2053,2054,19,other,private,phd,8.0,74.2,yes,30-60 min,no,group study,100.0,91.9,85.2,100.0,a
2054,2055,18,male,public,high school,0.6,61.5,yes,<15 min,yes,textbook,31.4,43.4,31.6,31.0,f
2055,2056,16,other,private,diploma,0.9,90.0,no,30-60 min,no,textbook,50.4,39.8,33.8,41.7,e
2056,2057,18,other,private,diploma,2.5,86.2,yes,<15 min,yes,mixed,38.4,54.5,65.2,54.1,e
2057,2058,18,other,private,graduate,2.2,59.4,yes,>60 min,no,online videos,67.2,48.8,48.9,51.0,e
2058,2059,16,other,public,post graduate,4.2,59.4,yes,15-30 min,no,coaching,64.6,65.5,51.1,61.5,d
2059,2060,16,male,public,diploma,3.7,93.2,yes,30-60 min,yes,textbook,70.4,70.0,82.9,71.8,c
2060,2061,19,female,public,high school,4.9,96.0,no,30-60 min,yes,mixed,92.5,69.9,93.3,85.0,b
2061,2062,17,female,private,post graduate,1.6,99.2,yes,15-30 min,yes,online videos,77.2,58.7,77.2,61.2,d
2062,2063,14,female,public,high school,5.6,84.3,yes,30-60 min,no,notes,63.4,81.2,81.0,72.0,c
2063,2064,18,male,private,phd,2.1,96.4,yes,>60 min,yes,online videos,43.6,64.2,66.9,63.4,d
2064,2065,17,other,private,graduate,3.9,57.4,yes,30-60 min,yes,group study,64.2,43.5,64.7,62.0,d
2065,2066,17,male,public,diploma,0.8,57.8,yes,15-30 min,no,notes,21.4,38.5,41.8,37.2,f
2066,2067,18,other,private,high school,6.5,52.1,yes,<15 min,no,textbook,64.3,74.3,57.6,74.4,c
2067,2068,19,other,public,post graduate,5.2,76.9,no,15-30 min,no,notes,85.6,71.3,54.5,65.0,d
2068,2069,15,male,public,graduate,2.1,61.1,yes,30-60 min,yes,textbook,33.6,53.2,43.4,44.7,e
2069,2070,16,other,public,phd,5.0,78.4,no,15-30 min,no,mixed,63.1,68.6,74.5,76.4,c
2070,2071,15,female,private,post graduate,3.8,50.4,yes,>60 min,yes,textbook,48.5,39.2,30.5,41.5,e
2071,2072,17,male,private,post graduate,6.7,76.4,yes,15-30 min,no,mixed,98.4,81.9,62.4,90.9,b
2072,2073,16,other,private,no formal,7.9,94.4,no,<15 min,no,mixed,100.0,98.8,100.0,100.0,a
2073,2074,16,male,public,no formal,1.4,86.3,no,>60 min,no,mixed,23.8,33.7,36.0,38.5,f
2074,2075,18,male,public,graduate,4.2,68.4,yes,30-60 min,yes,coaching,54.0,55.2,45.7,57.2,d
2075,2076,16,other,public,no formal,2.4,53.4,yes,<15 min,yes,textbook,50.6,40.1,33.9,44.0,e
2076,2077,16,other,private,phd,6.1,62.3,yes,30-60 min,yes,textbook,59.4,69.4,58.3,63.8,d
2077,2078,16,male,private,phd,0.8,75.2,yes,30-60 min,no,group study,53.7,57.9,22.9,40.0,e
2078,2079,15,male,public,graduate,4.6,62.9,yes,15-30 min,no,mixed,56.7,58.2,84.1,61.4,d
2079,2080,14,male,public,post graduate,6.9,88.8,yes,30-60 min,yes,mixed,91.9,100.0,95.8,95.1,a
2080,2081,18,male,public,diploma,3.4,96.8,yes,30-60 min,yes,textbook,71.0,68.9,65.8,74.5,c
2081,2082,14,male,private,phd,6.8,58.8,yes,>60 min,yes,mixed,98.6,52.9,100.0,87.0,b
2082,2083,15,female,private,no formal,1.6,50.3,no,<15 min,yes,mixed,39.3,37.2,36.6,35.5,f
2083,2084,18,male,public,high school,7.4,54.2,yes,15-30 min,yes,group study,86.8,92.4,76.6,90.6,b
2084,2085,14,male,private,post graduate,6.4,90.1,no,15-30 min,yes,coaching,75.7,100.0,67.7,83.8,c
2085,2086,17,male,public,post graduate,3.4,52.7,no,15-30 min,no,online videos,58.2,62.7,69.5,57.0,d
2086,2087,18,other,public,high school,1.5,87.3,yes,30-60 min,yes,mixed,49.8,42.4,41.6,46.0,e
